"","TaxonoriginalDN","Taxonsimplified_DN","name","Acceptedname_ALA","name2","Note.Gbif","Taxonresolution_ALA","Collector","UniqueID","Provenance","Latitudedegrees","Latitudeminutes","Latitudeseconds","Longitudedegrees","Longitudeminutes","Longitudeseconds","Row","Tree","StatusFeb2016","Drought2019","Drought2020","Recovery2019.2020","Regrowth","RegrowthLocation","RegrowthAge","Regrowthdieback","Timesincedeath.June2019.","Drought2006","MaturityMar2020","Maturity.at.June.2019","Yearplanted","genus","subgenus","section","series","subseries","species","subspecies","variety","habit_tree","habit_mallee","habit_marlock","habit_shrub","height_max_m","regen_lignotuber","regen_epi_buds","regen_lat_roots","blade_lanceolate","blade_falcate","blade_elliptic","blade_linear","blade_ovate","blade_oblong","blade_orbicular","blade_cordate","blade_deltoid","blade_oblanceolate","blade_obovate","blade_obcordate","leaf_length_mm_min","leaf_length_mm_max","leaf_width_mm_min","leaf_width_mm_max","reticulation_sparse","reticulation_moderate","reticulation_dense","reticulation_very_dense","reticulation_obscure","reticulation_unknown","reticulation_absent","oil_glands_island","oil_glands_intersectional","oil_glands_obscure","oil_glands_absent","seed_length_mm_min","seed_length_mm_max","seed_shape_flat_ovoid","seed_shape_ovoid","seed_shape_oblique_pyramidal","seed_shape_pyramidal","seed_shape_cuboid","seed_shape_subspherical","seed_shape_ellipsoidal","flower_white","flower_yellow","flower_green_yellow","flower_red","flower_orange","flower_purple","botanical_desc","seed_shape_long","subsection"
"101","Eucalyptus acies","Eucalyptus acies","eucalyptus acies","Eucalyptus acies","eucalyptus acies","","Species ","D.Nicolle",225,"Cheyne Beach, WA",34,53,23,118,24,25,42,24,"Dead","","","","","","","","","","","",1994,"Eucalyptus","Eucalyptus","Longistylus","Proximae",NA,"acies",NA,NA,FALSE,TRUE,FALSE,TRUE,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,135,20,40,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,5,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Mallee to 3 m tall, or shrub. Forming a lignotuber. -BREAK- Bark smooth, mottled shades of pale grey, pink-grey and brown-grey. -BREAK- Branchlets conspicuously quadrangular and yellow; lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems square in cross-section; juvenile leaves sessile to shortly petiolate, opposite, elliptical to broadly lanceolate, 7--12 cm long, 3--5 cm wide, thick, green. -BREAK- Adult leaves thick, coarse, opposite to sub-opposite, petioles 1.3--3.3 cm long; blade lanceolate, 8--13.5 cm long, 2--4 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, dull bluish green at first but maturing glossy, green, side-veins greater than 45° to midrib, reticulation moderate to dense, intramarginal vein remote from margin, oil glands irregular, island or obscure.  -BREAK- Inflorescence axillary unbranched, peduncles flattened, widest apically, down-curved, 1.5--3.2 cm long, buds 7 per umbel, pedicels (0.2)0.6--0.9 cm long. Mature buds obovoid to globular, 0.6--0.9 cm long, 0.7--0.9 cm wide, the hypanthium with ca 10--12 shallow longitudinal ribs, scar absent, the single operculum shallowly conical to rounded and umbonate, stamens mostly inflexed, a few irregulary disposed, anthers oblong to reniform, versatile, dorsifixed, dehiscing by longitudinal slits that are not confluent apically, style long and straight, stigma tapered, locules 3, the placentae each with 2 vertical rows of ovules. Flowers cream or pale yellow.  -BREAK- Fruit pedicellate (pedicels 0.2--0.9 cm long), rigidly down-turned, campanulate to cupular, 0.9--1.2 cm long, 1.3--1.5 cm wide, ribbed especially in upper third, disc level or slightly raised-convex, valves 3, near rim level.  -BREAK- Seeds black, 2--5 mm long, truncate-pyramidal to obliquely elongated or almost cuboid, dorsal surface often lacunose but otherwise smooth, ventrally ridged, hilum terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform, large; seedlings very branched; stems rounded in cross-section; leaves sessile, opposite and amplexicaul for at least 14 nodes, oblong-elliptic, 3.5--8 cm long, 2.5--5 cm wide, dull, green, apex rounded and apiculate.",NA,"Frutices"
"102","Eucalyptus acmenoides (E. uvida)","Eucalyptus acmenoides","eucalyptus acmenoides","Eucalyptus acmenoides","eucalyptus acmenoides","","Species ","D.Nicolle",1299,"Paluma, Qld",18,59,7,146,17,44,93,20,"Dead","","","","","","","","","","","",1996,"Eucalyptus","Eucalyptus","Amentum",NA,NA,"acmenoides",NA,NA,TRUE,FALSE,FALSE,FALSE,45,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,157,9,40,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1,2.5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Medium-sized or tall tree to 45 m. Forming a lignotuber. -BREAK- Bark rough to small branches, fibrous, grey or grey-brown, held in flattish strips rather than typical stringybark. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, smooth; juvenile leaves opposite and sessile for many pairs before becoming alternate and shortly petiolate, usually lanceolate, rarely ovate, 5--12.5 cm long, 1.3--5.7 cm wide, base usually rounded, rarely stem-clasping, discolorous, glossy, green. Leaves become alternate at about knee-high. -BREAK- Adult leaves alternate, petiole 0.7--2.1 cm long; blade lanceolate, (6.2)7--15.7 cm long, 0.9--4(5) cm wide, base oblique or tapering to petiole, margin entire, discolorous, weakly glossy to quite glossy, green, side-veins about or greater than 45° to midrib, moderately to densely reticulate, intramarginal vein parallel to and just within margin or well removed from it, oil glands island and intersectional. -BREAK- Inflorescence terminal, or axillary unbranched, peduncles 0.7--1.9 cm long, buds 11 to 15 per umbel, rarely more, pedicels 0.3--0.7 cm long. Mature buds ovoid to fusiform, 0.5--0.7 cm long, 0.3--0.5 cm wide, green to yellow, scar absent, operculum conical or sometimes beaked, stamens irregularly flexed or inflexed, anthers reniform to cordate, versatile, dorsifixed, dehiscing by confluent slits, style long, locules 3--5 each with two vertical ovule rows. Flowers white. -BREAK- Fruit pedicellate (pedicels 0.1--0.8 cm long), truncate-globose to hemispherical or cup-shaped or sometimes urn-shaped, 0.5--0.8 cm long, 0.4--0.9 cm wide, disc below rim level, usually descending and concealed but sometimes visible and oblique, valves 3--5, rim level or below. -BREAK- Seeds brown, 1--2.5 mm long, pyramidal or obliquely pyramidal, dorsal surface smooth, hilum terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section; leaves sessile and opposite for at least 10 nodes, lanceolate, (5.5)7--12 cm long, (1.5)2--5 cm wide, base amplexicaul, margin entire, discolorous, glossy, green.",NA,NA
"103","Eucalyptus adesmophloia","Eucalyptus adesmophloia","eucalyptus adesmophloia","Eucalyptus adesmophloia","eucalyptus adesmophloia","","Species ","D.Nicolle",216,"Beaufort Inlet, WA",34,25,38,118,52,48,21,6,"Alive","None evident","Slight","?","None evident","","","","","None evident","","",1993,"Eucalyptus","Symphyomyrtus","Bisectae","Falcatae","Decipientes","adesmophloia",NA,NA,FALSE,TRUE,FALSE,FALSE,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,55,125,10,25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Mallee to 5 m tall. Forming a lignotuber. -BREAK- Bark partly rough with loose, papery or brittle ribbons of imperfectly shed pale grey-brown bark on at least base of or over most of trunk, smooth bark whitish to pink, pale orange or grey. -BREAK- Branchlets lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section; juvenile leaves shortly petiolate, opposite for very few nodes on coppice, soon alternate, orbicular to broadly elliptical, 2--6.5 cm long, 2--5 cm wide, base tapering, margin entire or subcrenulate, apex emarginate or rounded and apiculate, dull, slightly blue-green. -BREAK- Adult leaves alternate, petioles 0.4--2.2 cm long; blade lanceolate, 5.5--12.5 cm long, 1--2.5(3.2) cm wide, base tapering to petiole, margin entire or sometimes subcrenulate, apex acute, glossy, green, side-veins greater than 45° to midrib, reticulation dense to very dense, intramarginal vein remote from margin, oil glands numerous, irregular and intersectional. -BREAK- Inflorescence axillary unbranched, peduncles 0.3--1.2 cm long, buds ?11 to 21 per umbel, sessile or shortly pedicellate (pedicels 0--0.3 cm long). Mature buds squatly ovoid to fusiform (0.7--1.2 cm long, 0.35--0.5 cm wide), scar present (outer operculum shed early), operculum conical to beaked, stamens inflexed, anthers reniform, versatile, dorsifixed, dehiscing by longitudinal slits that remain separate, style long and straight, stigma more or less rounded, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit sessile or shortly pedicellate (pedicels 0--0.2 cm long), broadly obconical to flattened-hemispherical, 0.4--0.6 cm long, 0.5--0.9 cm wide, disc more or less level, valves 3 or 4, exserted but tips fragile. -BREAK- Seeds dark greyish brown, 1--2 mm long, ovoid or flattened-ovoid, dorsal surface smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, smooth or slightly warty; leaves opposite to sub-opposite, becoming alternate variably from ca node 6 to 16, sessile (for at least 20 nodes on some) or shortly petiolate for many nodes, orbicular and often wider than long, 1.5--3 cm long, 1.5--4 cm wide, base truncate, rounded, amplexicaul or tapering, margin entire or subcrenulate, apex emarginate to rounded, grey-green to green, dull. -BREAK-",NA,"Destitutae"
"104","Eucalyptus adesmophloia - E. obesa intergrade (E. communalis)","Eucalyptus � communalis","eucalyptus � communalis","Eucalyptus�communalis","eucalyptus�communalis","","Species ","D.Nicolle",200,"Hamersley River, WA",33,51,1,119,49,32,18,27,"Dead","","","","","","","","","","","",1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Eucalyptus aenea","Eucalyptus aenea","eucalyptus aenea","Eucalyptus�viridis","eucalyptus�viridis","","Species ","D.Nicolle",2083,"Gungal, NSW",32,17,34,150,24,40,84,16,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Eucalyptus aenea (E. castrensis)","Eucalyptus � castrensis","eucalyptus � castrensis","Eucalyptus castrensis","eucalyptus castrensis","","Species ","D.Nicolle",5263,"Pokolbin, NSW",32,45,22,151,14,19,303,9,"Alive","None evident","Slight","?","None evident","","","","","Not applicable","Flowered","Flowered",2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Eucalyptus aequioperta","Eucalyptus aequioperta","eucalyptus aequioperta","Eucalyptus aequioperta","eucalyptus aequioperta","","Species ","D.Nicolle",3448,"Hyden, WA",32,3,5,118,53,54,223,21,"Alive","None evident","None evident","?","","","","","","None evident","Flowered","Flowered",2001,"Eucalyptus","Symphyomyrtus","Dumaria","Ovulares",NA,"aequioperta",NA,NA,TRUE,TRUE,FALSE,FALSE,10,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,60,110,6,12,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.8,1.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tree or mallee to 10 m tall. Forming a lignotuber. -BREAK- Bark rough, dark grey, fairly firm and scaly or flaky to fibrous for about half of to all of trunk and large limbs to ca 15 cm diameter, becoming slightly tessellated on older trees, smooth above, dull pinkish grey to whitish. -BREAK- Branchlets with small oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, slightly glaucous; juvenile leaves always petiolate, opposite at lowest nodes but soon alternate, ovate to elliptic to lanceolate, 2--9 cm long, 0.8--2.5 cm wide, bluish to glaucous, becoming glossy, green as a sapling.  -BREAK- Adult leaves alternate, petioles 0.8--1.7 cm long; blade linear to narrowly lanceolate or falcate, 6--11 cm long, 0.6--1.2 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein close to margin, oil glands mostly intersectional.  -BREAK- Inflorescence axillary unbranched, peduncles 0.5--1.5 cm long, buds 9 to 15 per umbel, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid with operculum equal to or narrower than hypanthium at the join (0.5--0.7 cm long, 0.25--0.35 cm wide), scar present, operculum bluntly to acutely conical (0.15--0.3 cm long), stamens inflexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style stout, long and straight, stigma blunt to slightly rounded, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers white.  -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly barrel-shaped to obconical tending to truncate-globose, 0.4--0.5 cm long, 0.4--0.6 cm wide, disc descending vertically, valves 3(4), near rim level.  -BREAK- Seeds mid-brown, 0.8--1.5 mm long, flattened ovoid, dorsal surface shallowly and clearly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section; leaves always petiolate, opposite for 3 to 8 nodes then alternate, ovate to lanceolate, 4.5--10 cm long, 1.3--3.5 cm wide, dull, concolorous, green.",NA,NA
"108","Eucalyptus agglomerata","Eucalyptus agglomerata","eucalyptus agglomerata","Eucalyptus agglomerata","eucalyptus agglomerata","","Species ","D.Nicolle",1754,"Nelligen, NSW",35,32,53,149,59,3,140,15,"Alive","Moderate","Moderate","?","None evident","","","","","None evident","Flowered","Flowered",1997,"Eucalyptus","Eucalyptus","Capillulus",NA,NA,"agglomerata",NA,NA,TRUE,FALSE,FALSE,FALSE,40,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,140,14,30,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.5,2.5,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tree to 40 m tall. Forming a lignotuber. -BREAK- Bark rough to small branches, stringy or fibrous, dark grey or grey-brown. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, scabrid at first, becoming smooth; juvenile leaves petiolate, opposite, conspicuously undulate and discolorous for 3 to 6 pairs, initially scabrid-hairy above and below but soon smooth above and scabrid only on margins and midrib, becoming glabrous, alternate, ovate, 3.5--10 cm long, 2--5.5 cm wide, margin entire, glossy, green.  -BREAK- Crown usually blue-green. -BREAK- Adult leaves alternate, petiole 0.6--1.8 cm long; blade lanceolate to falcate, 7--14 cm long, 1.4--3 cm wide, base oblique or tapering evenly to petiole, margin entire, concolorous or slightly discolorous, glossy, green to blue-green, side-veins acute, sparsely to moderately reticulate, intramarginal vein parallel to and just within margin or well removed from it, oil glands island. -BREAK- Inflorescence axillary unbranched, peduncles 0.4--1.5 cm long, buds in umbels of 11 to 15(21), sessile or with pedicels to 0.3 cm long. Mature buds fusiform to diamond-shaped, 0.6--0.8 cm long, 0.3--0.4 cm wide, green to yellow, smooth or scurfy, scar absent, operculum conical, stamens irregularly flexed, anthers reniform to cordate, versatile, dorsifixed, dehiscing by confluent slits, style long, locules 3 or 4, the placentae each with 2 vertical ovule rows. Flowers white or cream. -BREAK- Fruit sessile, compressed-hemispherical with sides deformed by crowding, 0.3--0.5 cm long, 0.5--1 cm wide (and usually broader than long), disc raised or level, valves 3 or 4, near rim level or enclosed. -BREAK- Seeds black or brown, 1.5--2.5 mm long, pyramidal or obliquely pyramidal, dorsal surface smooth or shallowly pitted, hilum terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems rounded in cross-section, densely stellate-hairy; leaves always petiolate, opposite for 3 to 6 nodes then alternate, ovate, 6--11 cm long, 3.5--7 cm wide, base rounded or tapering, margin irregular and conspicuously undulate, slightly discolorous, green glossy, scabrid to hairy. -BREAK-  -BREAK-",NA,NA
"109","Eucalyptus aggregata","Eucalyptus aggregata","eucalyptus aggregata","Eucalyptus aggregata","eucalyptus aggregata","","Species ","D.Nicolle",1224,"Rydal, NSW",33,27,46,150,1,49,92,22,"Alive","Dead","","","","","","","6 - 12 months","None evident","Flowered","Flowered",1996,"Eucalyptus","Symphyomyrtus","Maidenaria","Foveolatae",NA,"aggregata",NA,NA,TRUE,FALSE,FALSE,FALSE,20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,50,120,10,25,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.2,2,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tree to 20 m tall. Forming a lignotuber. -BREAK- Bark rough throughout or branches <8 cm diameter smooth, rough bark flaky and fissured or fibrous, dark grey to grey-brown. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section; juvenile leaves opposite at first but soon alternate, petiolate, ovate to elliptical or lanceolate, 4--7 cm long, 1.5--3 cm wide, margin entire or crenulate, green. Juvenile leaf shape may vary considerably in a single seedlot. -BREAK- Adult leaves alternate, petioles 0.4--1.5 cm long; blade lanceolate, 5--12 cm long, 1--2.5 cm wide, slightly glossy or dull, side-veins at an acute or wider angle to midrib, moderately to densely reticulate, intramarginal vein parallel to and just within margin or well removed from it (sometimes double), oil glands mostly island. -BREAK- Inflorescence axillary unbranched, peduncles 0.1--0.5 cm long, buds 7 per umbel, shortly pedicellate to rarely sessile, pedicels (0)0.1--0.2 cm long. Mature buds ovoid (0.3--0.5 cm long, 0.2--0.3 cm wide), green to yellow, scar present, operculum conical or beaked (0.15--0.3 cm long), stamens inflexed or irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, locules 3 or 4, each with 4 vertical ovule rows. Flowers white or cream. -BREAK- Fruit sessile to shortly pedicellate, pedicels 0--0.2 cm long, obconical, 0.2--0.5 cm long, 0.3--0.5 cm wide, disc slightly raised or level, valves 3 or 4, strongly exserted or near rim level. -BREAK- Seeds brown-grey, 1.2--2 mm long, ovoid or flattened-ovoid, often pointed at one end, sometimes lacunose, dorsal surface smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems rounded in cross-section, warty or smooth; leaves sessile or shortly petiolate, opposite for 4 or 5 nodes then sub-opposite to alternate, variable in shape but usually ovate-elliptical, 3--6 cm long, 0.6--3.7 cm wide, base tapering, rounded or amplexicaul, green to grey-green. -BREAK-",NA,"Triangulares"
"110","Eucalyptus alaticaulis","Eucalyptus alaticaulis","eucalyptus alaticaulis","Eucalyptus alaticaulis","eucalyptus alaticaulis","","Species ","D.Nicolle",356,"Mt William Range, Vic",37,17,NA,142,35,NA,71,33,"Alive","Moderate","Moderate","?","None evident","","","","","Severe","","",1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Eucalyptus alatissima","Eucalyptus alatissima","eucalyptus alatissima","Eucalyptus alatissima","eucalyptus alatissima","","Species ","D.Nicolle",1530,"Ilkurlka, WA",28,18,45,127,14,15,86,6,"Dead","","","","","","","","","","","",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Eucalyptus alba var. australasica","Eucalyptus alba var. australasica","eucalyptus alba var. australasica","Eucalyptus alba var. australasica","eucalyptus alba var. australasica","","Variety","D.Nicolle",2475,"Jabiru, NT",12,30,3,132,53,29,165,12,"Dead","","","","","","","","","","","",1999,"Eucalyptus","Symphyomyrtus","Exsertaria","Subexsertae","Applanatae","alba",NA,"australasica",TRUE,FALSE,FALSE,FALSE,20,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,80,185,25,45,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1.5,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tree to c. 20 m tall, often deciduous during the drier months prior to the wet season. Forming a lignotuber. -BREAK- Bark smooth, new bark pale orange to pale pink to pale yellow to creamy-white, maturing to white and weathering to grey or reddish brown just before decortication. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems square to round in cross-section, not glaucous; juvenile leaves always petiolate, alternate, ovate, 10--18 cm long, 6--13.5 cm wide, base broadly lobed to truncate to rounded, green. -BREAK- Adult leaves alternate, petioles 1.5--4 cm long; blade lanceolate to broadly lanceolate to occasionally ovate, 8--18.5 cm long, (1.8)2.5--4.5(8) cm wide, base rounded to tapering to petiole, margin entire, apex pointed, concolorous, dull to slightly glossy green, side-veins acute or at a wider angle than 45° to the midrib, reticulation very dense, intramarginal vein present, oil glands mostly intersectional, rarely island, or sometimes somewhat obscure. -BREAK- Inflorescence axillary unbranched, peduncles 0.5--1 cm long, angular, buds 7 per umbel, pedicellate (pedicels 0.2--0.4 cm long). Mature buds obovoid to obovoid or globular, 0.4--0.8 cm long, 0.4--0.6 cm wide, scar present, operculum rounded to shortly beaked (0.2--0.5 cm long), hypanthium often with two weak longitudinal ridges, stamens regularly inflexed, rarely irregularly inflexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, rarely hooked beneath the top of the operculum, stigma blunt, locules (3)4, the placentae each with 6 or more vertical rows of ovules. Flowers white. -BREAK- Fruit pedicellate (pedicels 0.1--0.5 cm long), obconical to hemispherical, non-glaucous, 0.3--0.6 cm long, 0.5--0.8 cm wide, disc raised and annular, valves (3)4, exserted.  -BREAK- Seeds brown, 1.5--2 mm long, Â± flattened ovoid to rarely pyramidal, dorsal surface shallowly reticulate, edge of seed sharply toothed, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons oblong, stem square in cross-section and prominently winged; leaves opposite for c. 5 to 8 nodes, then alternate, always petiolate, ovate, 7--10.8 cm long, 4--6.2 cm wide, base rounded to tapering to the petiole, dull green to grey-green.",NA,NA
"113","Eucalyptus albens","Eucalyptus albens","eucalyptus albens","Eucalyptus albens","eucalyptus albens","","Species ","D.Nicolle",1676,"Melrose, SA",32,55,3,138,9,32,133,8,"Alive","Dead","","","","","","","2 - 3 years","None evident","","",1997,"Eucalyptus","Symphyomyrtus","Adnataria","Buxeales","Continentes","albens",NA,NA,TRUE,FALSE,FALSE,FALSE,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12,30,17,43,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"Tree to 25 m tall. Forming a lignotuber. -BREAK- Bark rough on most or all of trunk and base of large branches, rarely extending to branches < 8 cm diameter, box type, often becoming tessellated, pale grey or mottled grey and white patches, smooth bark of branches predominantly white, sometimes grey, or tinged orange, pink or salmon. -BREAK- Branchlets usually glaucous, pith oil glands rarely present. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded or square in cross-section, glaucous or non-glaucous; juvenile leaves alternate, petiolate, orbicular, deltoid or ovate, 5--10.5 cm long, 5--10 cm wide, margin entire, blue-green, grey-green, or blue-grey or glaucous. -BREAK- Adult leaves alternate, petiolate, 1.2--3 cm long; blade lanceolate to ovate, 7--16.5 cm long, 1.7--4.3 cm wide, base tapering to petiole, margin entire, concolorous, dull, blue-green, grey-green, blue-grey to glaucous, side-veins mostly greater than 45° to midrib, densely to very densely reticulate, intramarginal vein parallel to and just within margin or well removed from it, oil glands mostly intersectional or obscure. -BREAK- Inflorescence terminal compound or axillary unbranched, peduncles 0.8--1.8 cm long, buds 7 per umbel, sessile or with pedicels to 0.7 cm long. Mature buds fusiform, often slightly curved, 0.8--1.8 cm long, 0.3--0.6 cm wide, glaucous or sometimes green, slightly angled, scar absent, operculum conical, stamens irregularly flexed, anthers cuboid, adnate to filament, dehiscing by broad lateral pores, style long, locules 3 or 4(5) each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit sessile or on pedicels to 0.5(1) cm long, cylindrical, urceolate or barrel-shaped, 0.6--1.4 cm long, 0.5--1 cm wide, often slightly angled longitudinally, glaucous or non-glaucous, disc descending, valves 3 or 4(5), enclosed. -BREAK- Seed blackish, brown or grey, 1--2 mm long, irregularly flattened-ovoid, sometimes pointed at one end, lacunose or not, dorsal surface smooth or shallowly pitted, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to oblong; stems rounded or square in cross-section, usually glaucous; leaves always petiolate, opposite for 3 to 5 nodes then alternate, orbicular to ovate, 5--10.5 cm long, 3--7.5 cm wide, base rounded or truncate, grey-green to glaucous. -BREAK-  -BREAK-  -BREAK-",NA,NA
