"","Binomial","Genus","Subgenus","Section","Series","Subseries","Species","Subspecies","Regeneration.Strategy","RowTree","FieldID","name","EUCLID.name","cca.synonym","genus","species","subspecies","habit_tree","habit_mallee","habit_marlock","habit_shrub","height_max_m","leaf_length_mm_min","leaf_length_mm_max","leaf_width_mm_min","leaf_width_mm_max","EUCLID_botanical_desc","X"
"110","Eucalyptus brockwayi","Eucalyptus","Symphyomyrtus","Bisectae","Brockwayanae","","brockwayi","","Seeder","R178/T07","CCA3571","eucalyptus brockwayi","eucalyptus brockwayi","","Eucalyptus","brockwayi",NA,TRUE,FALSE,FALSE,FALSE,15,70,150,8,18,"Tree to 15 m tall. Lignotuber absent. -BREAK- Bark smooth throughout, shiny, mottled light grey, salmon pink and creamy white. -BREAK- Branchlets lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, or obscurely polygonal; juvenile leaves sessile, spirally arranged, elliptical, 2--7 cm long, 0.5--2.7 cm wide, dull, green. -BREAK- Adult leaves alternate, petiole 1.2--2 cm long; blade linear to narrowly lanceolate, 7--15 cm long, 0.8--1.8 cm wide, base tapering to petiole, margin entire, apex finely acuminate, green, very glossy, side-veins at an acute or wider angle to midrib, reticulation dense, intramarginal vein close to margin, oil glands obscure or absent. -BREAK- Inflorescence axillary unbranched, peduncles slightly flattened, 0.5--1.3 cm long, buds 11 to 15 per umbel, pedicellate (pedicels 0.1--0.2 cm long). Mature buds cylindrical to elongated ovoid (0.6--0.8 cm long, 0.3--0.4 cm wide), dilated basally, scar present, operculum bluntly conical to rounded, stamens inflexed, anthers more or less spherical, versatile, sub-basifixed, dehiscing by longitudinal slits, style short and straight, stigma blunt to rounded, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers white.  -BREAK- Fruit pedicellate to sessile (pedicels 0--0.2 cm long), globular but with conspicuous narrow neck (globular-urceolate), 0.4--0.6 cm long, 0.4--0.7 cm wide, disc descending vertically, valves 3(4) enclosed.  -BREAK- Seeds grey-brown, 1--2 mm long, flattened-ovoid, dorsal surface smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons Y-shaped (bisected); stems round to many-sided, softly hairy with branched hairs; leaves sessile, crowded, spirally arranged from ca node 2 for at least 30 leaves, linear, short, 1--2.7 cm long, 0.1--0.5 cm wide, dull, green, softly hairy.",""
"111","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R204/T21","CCA4067","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"112","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R204/T22","CCA4068","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"113","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R204/T23","CCA4069","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"114","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R224/T29","CCA4371","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"115","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R224/T31","CCA4372","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"116","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R224/T32","CCA4373","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"117","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R227/T17","CCA4452","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"118","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R227/T18","CCA4453","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"119","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R227/T19","CCA4454","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"120","Eucalyptus salicola","Eucalyptus","Symphyomyrtus","Bisectae","Porantherae","","salicola","","Seeder","R227/T20","CCA4455","eucalyptus salicola","eucalyptus salicola","","Eucalyptus","salicola",NA,TRUE,FALSE,FALSE,FALSE,15,35,105,4,12,"Tree to 15 m tall. Lignotuber absent; epicormic buds present up stems. -BREAK- Bark smooth throughout, powdery, white to pale grey over salmon pink. -BREAK- Branchlets lacking oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, glaucous and very warty; juvenile leaves sessile and opposite becoming sub-opposite, cordate to orbicular, 1--2.7 cm long, 0.7--1.5 cm wide, base usually amplexicaul, sometimes rounded to truncate, margin subcrenulate, apex rounded, glaucous. -BREAK- Adult leaves alternate, petioles 0.5--1.3 cm long; blade linear to narrowly elliptic-lanceolate, 3.5--10.5 cm long, 0.4--1.2 cm wide, base tapering to petiole, margin entire, apex finely pointed, concolorous, glossy, green, side-veins at an acute or wider angle to midrib, reticulation moderate to dense, intramarginal vein present, oil glands large, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to angular, 0.3--1 cm long, buds 7, 9 or 11, pedicellate, pedicels 0.2--0.5 cm long. Mature buds ovoid to fusiform (0.5--0.9 cm long, 0.25--0.4 cm wide), scar present, operculum conical to beaked (0.25--0.5 cm long), stamens inflexed, anthers cuneate-cuboid, adnate to filament apex (rigidly basifixed), dehiscing by sub-terminal pores, a few of the innermost stamens imperfectly formed, style long and straight, stigma blunt to tapered, locules 3(4), the placentae each with 4 vertical rows of ovules. Flowers creamy white. -BREAK- Fruit pedicellate (pedicels 0.2--0.5 cm long), shortly cupular to hemispherical, 0.2--0.5 cm long, 0.3--0.4(0.5) cm wide, disc pale, descending, valves 3(4), held about rim level. -BREAK- Seeds brown, 1--2 mm long, flattened-ovoid sometimes pointed at one end, dorsal surface sometimes with longitudinal furrows, smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems usually rounded in cross-section, glaucous, very warty; leaves sessile, opposite for ca 20 to 25 nodes then tending to subopposite, cordate to orbicular, 0.8--2.7 cm long, 0.5--2 cm wide, bases amplexicaul to rounded or truncate, discolorous, usually quite glaucous on underside, grey-green to slightly glaucous above, rarely almost non-glaucous and green.",""
"121","Eucalyptus brandiana","Eucalyptus","Symphyomyrtus","Dumaria","Tetrapterae","","brandiana","","Seeder","R313/T09","CCA5699","eucalyptus brandiana","eucalyptus brandiana","","Eucalyptus","brandiana",NA,FALSE,TRUE,FALSE,FALSE,5,140,238,42,62,"Mallet to 5 m tall. Lacking a lignotuber. Crown restricted to upper part of branches. -BREAK- Bark smooth throughout, grey to silvery grey and salmon, shedding in irregular strips. -BREAK- Branchlets square in cross-section; lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): not seen. -BREAK- Adult leaves coarse, thick, usually alternate, petioles 3.8--4.5 cm long; blade lanceolate to oblong, 14--23.8 cm long, 4.2--6.2 cm wide, base tapering to petiole or rounded, margin entire, apex pointed, concolorous, glossy, green, side-veins greater than 45° to midrib, reticulation dense, intramarginal vein remote from margin, oil glands intersectional, few or not visible.  -BREAK- Inflorescence axillary unbranched, peduncles rigidly down-turned, with broadly curved wings (length unknown); bud solitary, sessile. Mature buds cuboid with 4 broad wings at the angles (5--6.5 cm long, 3--6 cm wide), hypanthium red tapering a bit basally, scar present (outer operculum shed early), operculum pyramidal (1.5--3 cm long), stamens inflexed, filaments glandular, anthers cuboid, versatile, sub-basifixed, dehiscing by longitudinal slits, style long and straight, stigma tapered, locules 4, number of ovule rows unknown. Flowers red to pink.  -BREAK- Fruit on rigidly down-turned peduncles, sessile; cuboid and prominently winged, 5.6--6.8 cm long, 4.8--6 cm wide (including wings), disc descending vertically, valves 4, enclosed.  -BREAK- Seeds blackish, 3--4 mm long, shortly pyramidal, with prominent ridges continuous with conspicuous encircling marginal flange, dorsal surface shallowly reticulate, hilum terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10) : cotyledons reniform; stems rounded to square in cross-section; leaves always petiolate, opposite for 2 to 4 nodes then alternate, elliptic, 9--11 cm long, 4--5.5 cm wide, dull green. (Data from Hopper & McQuoid 2009).",""
