Taxon,taxon,binomial,genus,species,subspecies,taxon,Status,Accepted name,Authority,Collection source,ETS accession,ITS accession,matK accession,psbA accession
Eucalyptus approximans subsp. codonocarpa,eucalyptus approximans subsp. codonocarpa,eucalyptus approximans,eucalyptus,approximans,codonocarpa,eucalyptus approximans subsp. codonocarpa,Accepted,,(Blakely & McKie) L.A.S.Johnson,ANBG 69702,KT631513,KT630955,KT632709,KT632147
Eucalyptus aquilina,eucalyptus aquilina,eucalyptus aquilina,eucalyptus,aquilina,NA,eucalyptus aquilina,Accepted,,Brooker,GenBank,KT631514,FJ494708,,
Eucalyptus arachneae subsp. arecta,eucalyptus arachneae subsp. arecta,eucalyptus arachneae,eucalyptus,arachneae,arecta,eucalyptus arachneae subsp. arecta,Accepted,,Brooker & Hopper,CANB 435460**,KT631515,KT630956,KT632710,KT632148
Eucalyptus arborella,eucalyptus arborella,eucalyptus arborella,eucalyptus,arborella,NA,eucalyptus arborella,Accepted,,Brooker & Hopper,Currency Creek 1115,KT631516,,,
Eucalyptus arenacea,eucalyptus arenacea,eucalyptus arenacea,eucalyptus,arenacea,NA,eucalyptus arenacea,Accepted,,J.C.Marginson & Ladiges,CANB 786035**,KT631517,FJ494709,KT632711,KT632149
Eucalyptus argillacea,eucalyptus argillacea,eucalyptus argillacea,eucalyptus,argillacea,NA,eucalyptus argillacea,Accepted,,W.Fitzg. ex Maiden,CANB 785537**,KT631518,KT630957,KT632712,
Eucalyptus argophloia,eucalyptus argophloia,eucalyptus argophloia,eucalyptus,argophloia,NA,eucalyptus argophloia,Accepted,,Blakely,Currency Creek 686,KT631519,KT630958,KT632713,
Eucalyptus argutifolia,eucalyptus argutifolia,eucalyptus argutifolia,eucalyptus,argutifolia,NA,eucalyptus argutifolia,Accepted,,Grayling & Brooker,Waite Arboretum 2365B,KT631520,KT630959,KT632714,KT632150
Eucalyptus argyphea,eucalyptus argyphea,eucalyptus argyphea,eucalyptus,argyphea,NA,eucalyptus argyphea,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3433,KT631521,KT630960,KT632715,KT632151
Eucalyptus aromaphloia subsp. aromaphloia,eucalyptus aromaphloia subsp. aromaphloia,eucalyptus aromaphloia,eucalyptus,aromaphloia,aromaphloia,eucalyptus aromaphloia subsp. aromaphloia,Accepted,,Pryor & J.H.Willis,CANB 564611**,KT631522,AF058465,KT632716,KT632152
Eucalyptus articulata,eucalyptus articulata,eucalyptus articulata,eucalyptus,articulata,NA,eucalyptus articulata,Accepted,,Brooker & Hopper,Currency Creek 520,KT631523,KT630961,KT632717,KT632153
Eucalyptus aspersa,eucalyptus aspersa,eucalyptus aspersa,eucalyptus,aspersa,NA,eucalyptus aspersa,Accepted,,Brooker & Hopper,Currency Creek 1890,KT631524,KT630962,KT632718,KT632154
Eucalyptus aspratilis,eucalyptus aspratilis,eucalyptus aspratilis,eucalyptus,aspratilis,NA,eucalyptus aspratilis,Accepted,,L.A.S.Johnson & K.D.Hill,Waite Arboretum 2323C,KT631525,KT630963,KT632719,KT632155
Eucalyptus assimilans,eucalyptus assimilans,eucalyptus assimilans,eucalyptus,assimilans,NA,eucalyptus assimilans,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1826,KT631526,KT630964,,
Eucalyptus astringens subsp. astringens,eucalyptus astringens subsp. astringens,eucalyptus astringens,eucalyptus,astringens,astringens,eucalyptus astringens subsp. astringens,Accepted,,(Maiden) Maiden,Currency Creek 3503,KT631527,KT630965,,KT632156
Eucalyptus atrata,eucalyptus atrata,eucalyptus atrata,eucalyptus,atrata,NA,eucalyptus atrata,Accepted,,L.A.S.Johnson & K.D.Hill,ANBG 8603434,KT631528,KT630966,KT632720,KT632157
Eucalyptus badjensis,eucalyptus badjensis,eucalyptus badjensis,eucalyptus,badjensis,NA,eucalyptus badjensis,Accepted,,Beuzev. & Welch,Currency Creek 1767,KT631529,KT630967,KT632721,
Eucalyptus baeuerlenii,eucalyptus baeuerlenii,eucalyptus baeuerlenii,eucalyptus,baeuerlenii,NA,eucalyptus baeuerlenii,Accepted,,F.Muell.,ANBG 7810671,KT631530,KT630968,KT632722,
Eucalyptus baileyana,eucalyptus baileyana,eucalyptus baileyana,eucalyptus,baileyana,NA,eucalyptus baileyana,Accepted,,F.Muell.,Mt Annan 892003,FJ654425,AF390467,,KT632158
Eucalyptus bakeri,eucalyptus bakeri,eucalyptus bakeri,eucalyptus,bakeri,NA,eucalyptus bakeri,Accepted,,Maiden,Currency Creek 1269,KT631531,KT630969,KT632723,KT632159
Eucalyptus balanites,eucalyptus balanites,eucalyptus balanites,eucalyptus,balanites,NA,eucalyptus balanites,Accepted,,Grayling & Brooker,CANB 687715**,KT631532,,,KT632160
Eucalyptus balanopelex,eucalyptus balanopelex,eucalyptus balanopelex,eucalyptus,balanopelex,NA,eucalyptus balanopelex,Accepted,,L.A.S.Johnson & K.D.Hill,Waite Arboretum 2459,KT631533,KT630970,KT632724,KT632161
Eucalyptus balladoniensis subsp. balladoniensis,eucalyptus balladoniensis subsp. balladoniensis,eucalyptus balladoniensis,eucalyptus,balladoniensis,balladoniensis,eucalyptus balladoniensis subsp. balladoniensis,Accepted,,Brooker,CANB 586833**,,KT630971,KT632725,KT632162
Eucalyptus barberi,eucalyptus barberi,eucalyptus barberi,eucalyptus,barberi,NA,eucalyptus barberi,Accepted,,L.A.S.Johnson & Blaxell,Currency Creek 1989,KT631534,KT630972,KT632726,KT632163
Eucalyptus baueriana,eucalyptus baueriana,eucalyptus baueriana,eucalyptus,baueriana,NA,eucalyptus baueriana,Accepted,,Schauer,Currency Creek 1734,KT631535,KT630973,KT632727,KT632164
Eucalyptus baxteri,eucalyptus baxteri,eucalyptus baxteri,eucalyptus,baxteri,NA,eucalyptus baxteri,Accepted,,(Benth.) J.M.Black,ANBG 8701806,KT631536,KT630974,KT632728,KT632165
Eucalyptus beaniana,eucalyptus beaniana,eucalyptus beaniana,eucalyptus,beaniana,NA,eucalyptus beaniana,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 842071**,,KT630975,,
Eucalyptus beardiana,eucalyptus beardiana,eucalyptus beardiana,eucalyptus,beardiana,NA,eucalyptus beardiana,Accepted,,Brooker & Blaxell,CANB 632554**,KT631537,KT630976,,KT632166
Eucalyptus behriana,eucalyptus behriana,eucalyptus behriana,eucalyptus,behriana,NA,eucalyptus behriana,Accepted,,F.Muell.,Currency Creek 3183,KT631538,KT630977,KT632729,KT632167
Eucalyptus bensonii,eucalyptus bensonii,eucalyptus bensonii,eucalyptus,bensonii,NA,eucalyptus bensonii,Accepted,,L.A.S.Johnson & K.D.Hill,Mt Annan 830911,KT631539,KT630978,KT632730,KT632168
Eucalyptus benthamii,eucalyptus benthamii,eucalyptus benthamii,eucalyptus,benthamii,NA,eucalyptus benthamii,Accepted,,Maiden & Cambage,Currency Creek 3203,KT631540,KT630979,KT632731,
Eucalyptus beyeriana,eucalyptus beyeriana,eucalyptus beyeriana,eucalyptus,beyeriana,NA,eucalyptus beyeriana,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1761,KT631541,KT630980,KT632732,KT632169
Eucalyptus blakelyi,eucalyptus blakelyi,eucalyptus blakelyi,eucalyptus,blakelyi,NA,eucalyptus blakelyi,Accepted,,Maiden,Currency Creek 722,KT631542,KT630981,KT632733,KT632170
Eucalyptus blaxellii,eucalyptus blaxellii,eucalyptus blaxellii,eucalyptus,blaxellii,NA,eucalyptus blaxellii,Accepted,,L.A.S.Johnson & K.D.Hill,CANB 804415**,KT631543,KT630982,KT632734,KT632171
Eucalyptus blaxlandii,eucalyptus blaxlandii,eucalyptus blaxlandii,eucalyptus,blaxlandii,NA,eucalyptus blaxlandii,Accepted,,Maiden & Cambage,ANBG 8001329,KT631544,KT630983,KT632735,KT632172
Eucalyptus boliviana,eucalyptus boliviana,eucalyptus boliviana,eucalyptus,boliviana,NA,eucalyptus boliviana,Accepted,,J.B.Williams & K.D.Hill,ANBG 518876,KT631545,KT630984,KT632736,KT632173
Eucalyptus bosistoana,eucalyptus bosistoana,eucalyptus bosistoana,eucalyptus,bosistoana,NA,eucalyptus bosistoana,Accepted,,F.Muell.,Currency Creek 2902,KT631546,KT630985,KT632737,KT632174
Eucalyptus botryoides,eucalyptus botryoides,eucalyptus botryoides,eucalyptus,botryoides,NA,eucalyptus botryoides,Accepted,,Sm.,Currency Creek 1739,KT631547,KT630986,KT632738,
Eucalyptus brachyandra,eucalyptus brachyandra,eucalyptus brachyandra,eucalyptus,brachyandra,NA,eucalyptus brachyandra,Accepted,,F.Muell.,CANB 785499**,KT631548,KT630987,KT632739,KT632175
Eucalyptus brachycalyx,eucalyptus brachycalyx,eucalyptus brachycalyx,eucalyptus,brachycalyx,NA,eucalyptus brachycalyx,Accepted,,Blakely,Currency Creek 2245,KT631549,KT630988,KT632740,KT632176
Eucalyptus brachycorys,eucalyptus brachycorys,eucalyptus brachycorys,eucalyptus,brachycorys,NA,eucalyptus brachycorys,Accepted,,Blakely,Currency Creek 1897,KT631550,KT630989,KT632741,KT632177
Eucalyptus brachyphylla,eucalyptus brachyphylla,eucalyptus brachyphylla,eucalyptus,brachyphylla,NA,eucalyptus brachyphylla,Accepted,,C.A.Gardner,ANBG 9807043,KT631551,KT630990,KT632742,KT632178
Eucalyptus brassiana,eucalyptus brassiana,eucalyptus brassiana,eucalyptus,brassiana,NA,eucalyptus brassiana,Accepted,,S.T.Blake,GenBank,KT631552,AF390483,KT632743,KT632179
Eucalyptus brevifolia,eucalyptus brevifolia,eucalyptus brevifolia,eucalyptus,brevifolia,NA,eucalyptus brevifolia,Accepted,,F.Muell.,CANB 785549**,KT631553,KT630991,KT632744,KT632180
Eucalyptus brevipes,eucalyptus brevipes,eucalyptus brevipes,eucalyptus,brevipes,NA,eucalyptus brevipes,Accepted,,Brooker,CANB 692658**,KT631554,,KT632745,
Eucalyptus brevistylis,eucalyptus brevistylis,eucalyptus brevistylis,eucalyptus,brevistylis,NA,eucalyptus brevistylis,Accepted,,Brooker,Currency Creek 1141,KT631555,AF390527,KT632746,KT632181
Eucalyptus bridgesiana,eucalyptus bridgesiana,eucalyptus bridgesiana,eucalyptus,bridgesiana,NA,eucalyptus bridgesiana,Accepted,,F.Muell. ex R.T.Baker,Currency Creek 570,KT631556,KT630992,KT632747,
Eucalyptus brockwayi,eucalyptus brockwayi,eucalyptus brockwayi,eucalyptus,brockwayi,NA,eucalyptus brockwayi,Accepted,,C.A.Gardner,Currency Creek 2166,KT631557,AF390505,KT632748,KT632182
Eucalyptus brookeriana subsp. brookeriana,eucalyptus brookeriana subsp. brookeriana,eucalyptus brookeriana,eucalyptus,brookeriana,brookeriana,eucalyptus brookeriana subsp. brookeriana,Accepted,,A.M.Gray,Currency Creek 1988,KT631558,KT630993,KT632749,
Eucalyptus brunnea,eucalyptus brunnea,eucalyptus brunnea,eucalyptus,brunnea,NA,eucalyptus brunnea,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 669,KT631559,KT630994,KT632750,KT632183
Eucalyptus buprestium,eucalyptus buprestium,eucalyptus buprestium,eucalyptus,buprestium,NA,eucalyptus buprestium,Accepted,,F.Muell.,CANB 632568**,KT631560,FJ494710,KT632751,KT632184
Eucalyptus burdettiana,eucalyptus burdettiana,eucalyptus burdettiana,eucalyptus,burdettiana,NA,eucalyptus burdettiana,Accepted,,Blakely & H.Steedman,Currency Creek 2246,KT631561,KT630995,KT632752,
Eucalyptus burgessiana,eucalyptus burgessiana,eucalyptus burgessiana,eucalyptus,burgessiana,NA,eucalyptus burgessiana,Accepted,,L.A.S.Johnson & Blaxell,ANBG s.n.,KT631562,,KT632753,KT632185
Eucalyptus burracoppinensis,eucalyptus burracoppinensis,eucalyptus burracoppinensis,eucalyptus,burracoppinensis,NA,eucalyptus burracoppinensis,Accepted,,Maiden & Blakely,CANB 794037**,KT631563,KT630996,KT632754,KT632186
Eucalyptus cadens,eucalyptus cadens,eucalyptus cadens,eucalyptus,cadens,NA,eucalyptus cadens,Accepted,,J.D.Briggs & Crisp,Currency Creek 1772,KT631564,KT630997,KT632755,KT632187
Eucalyptus caesia subsp. caesia,eucalyptus caesia subsp. caesia,eucalyptus caesia,eucalyptus,caesia,caesia,eucalyptus caesia subsp. caesia,Accepted,,Benth.,Currency Creek 3683,KT631565,KT630998,KT632756,KT632188
Eucalyptus calcareana,eucalyptus calcareana,eucalyptus calcareana,eucalyptus,calcareana,NA,eucalyptus calcareana,Accepted,,Boomsma,Currency Creek 2800,KT631566,KT630999,KT632757,KT632189
Eucalyptus calcicola subsp. calcicola,eucalyptus calcicola subsp. calcicola,eucalyptus calcicola,eucalyptus,calcicola,calcicola,eucalyptus calcicola subsp. calcicola,Accepted,,Brooker,Currency Creek 1674,KT631567,KT631000,KT632758,KT632190
Eucalyptus caleyi subsp. caleyi,eucalyptus caleyi subsp. caleyi,eucalyptus caleyi,eucalyptus,caleyi,caleyi,eucalyptus caleyi subsp. caleyi,Accepted,,Maiden,Currency Creek 2102,KT631568,KT631001,KT632759,KT632191
Eucalyptus caliginosa,eucalyptus caliginosa,eucalyptus caliginosa,eucalyptus,caliginosa,NA,eucalyptus caliginosa,Accepted,,Blakely & McKie,Currency Creek 1249,KT631569,,KT632760,KT632192
Eucalyptus calycogona subsp. calycogona,eucalyptus calycogona subsp. calycogona,eucalyptus calycogona,eucalyptus,calycogona,calycogona,eucalyptus calycogona subsp. calycogona,Accepted,,Turcz.,Currency Creek 1112,KT631570,KT631002,KT632761,KT632193
Eucalyptus camaldulensis subsp. camaldulensis,eucalyptus camaldulensis subsp. camaldulensis,eucalyptus camaldulensis,eucalyptus,camaldulensis,camaldulensis,eucalyptus camaldulensis subsp. camaldulensis,Accepted,,Dehnh.,GenBank,DQ352528,AF190363,HQ995676,AF190380
Eucalyptus campaspe,eucalyptus campaspe,eucalyptus campaspe,eucalyptus,campaspe,NA,eucalyptus campaspe,Accepted,,S.Moore,Currency Creek 2147,KT631571,KT631003,KT632762,KT632194
Eucalyptus camphora subsp. camphora,eucalyptus camphora subsp. camphora,eucalyptus camphora,eucalyptus,camphora,camphora,eucalyptus camphora subsp. camphora,Accepted,,F.Muell. ex R.T.Baker,Currency Creek 762,KT631572,KT631004,KT632763,
Eucalyptus canaliculata,eucalyptus canaliculata,eucalyptus canaliculata,eucalyptus,canaliculata,NA,eucalyptus canaliculata,Accepted,,Maiden,Currency Creek 1232,KT631573,KT631005,KT632764,KT632195
Eucalyptus canescens subsp. canescens,eucalyptus canescens subsp. canescens,eucalyptus canescens,eucalyptus,canescens,canescens,eucalyptus canescens subsp. canescens,Accepted,,Nicolle,Currency Creek 487,KT631574,KT631006,KT632765,KT632196
Eucalyptus canobolensis,eucalyptus canobolensis,eucalyptus canobolensis,eucalyptus,canobolensis,NA,eucalyptus canobolensis,Accepted,,(L.A.S.Johnson & K.D.Hill),Currency Creek 1222,KT631575,KT631007,KT632766,
Eucalyptus capillosa,eucalyptus capillosa,eucalyptus capillosa,eucalyptus,capillosa,NA,eucalyptus capillosa,Accepted,,Brooker & Hopper,Currency Creek 2192,KT631576,KT631008,KT632767,KT632197
Eucalyptus capitellata,eucalyptus capitellata,eucalyptus capitellata,eucalyptus,capitellata,NA,eucalyptus capitellata,Accepted,,Sm.,Currency Creek 640,KT631577,,KT632768,KT632198
Eucalyptus captiosa,eucalyptus captiosa,eucalyptus captiosa,eucalyptus,captiosa,NA,eucalyptus captiosa,Accepted,,Brooker & Hopper,CANB 799340**,KT631578,KT631009,KT632769,KT632199
Eucalyptus carnabyi,eucalyptus carnabyi,eucalyptus carnabyi,eucalyptus,carnabyi,NA,eucalyptus carnabyi,Accepted,,Blakely & H.Steedman,CANB 632591**,KT631579,,,KT632200
Eucalyptus carnea,eucalyptus carnea,eucalyptus carnea,eucalyptus,carnea,NA,eucalyptus carnea,Accepted,,F.Muell. ex R.T.Baker,Currency Creek 1236,KT631580,KT631010,KT632770,
Eucalyptus carnei,eucalyptus carnei,eucalyptus carnei,eucalyptus,carnei,NA,eucalyptus carnei,Accepted,,C.A.Gardner,Currency Creek 547,KT631581,KT631011,KT632771,KT632201
Eucalyptus castrensis,eucalyptus castrensis,eucalyptus castrensis,eucalyptus,castrensis,NA,eucalyptus castrensis,Accepted,,K.D.Hill,ANBG 653995,KT631582,KT631012,KT632772,KT632202
Eucalyptus celastroides subsp. celastroides,eucalyptus celastroides subsp. celastroides,eucalyptus celastroides,eucalyptus,celastroides,celastroides,eucalyptus celastroides subsp. celastroides,Accepted,,Turcz.,Currency Creek 132,KT631583,KT631013,KT632773,KT632203
Eucalyptus cephalocarpa,eucalyptus cephalocarpa,eucalyptus cephalocarpa,eucalyptus,cephalocarpa,NA,eucalyptus cephalocarpa,Accepted,,Blakely,Currency Creek 1730,KT631584,KT631014,KT632774,KT632204
Eucalyptus ceracea,eucalyptus ceracea,eucalyptus ceracea,eucalyptus,ceracea,NA,eucalyptus ceracea,Accepted,,Brooker & Done,CANB 551306**,KT631585,AF058459,,KT632205
Eucalyptus cerasiformis,eucalyptus cerasiformis,eucalyptus cerasiformis,eucalyptus,cerasiformis,NA,eucalyptus cerasiformis,Accepted,,Brooker & Blaxell,CANB 586828**,KT631586,KT631015,,
Eucalyptus ceratocorys,eucalyptus ceratocorys,eucalyptus ceratocorys,eucalyptus,ceratocorys,NA,eucalyptus ceratocorys,Accepted,,(Blakely) L.A.S.Johnson &,Currency Creek 2232,KT631587,KT631016,KT632775,KT632206
Eucalyptus cernua,eucalyptus cernua,eucalyptus cernua,eucalyptus,cernua,NA,eucalyptus cernua,Accepted,,Brooker & Hopper,Currency Creek 3574,KT631588,KT631017,KT632776,KT632207
Eucalyptus chartaboma,eucalyptus chartaboma,eucalyptus chartaboma,eucalyptus,chartaboma,NA,eucalyptus chartaboma,Accepted,,D.Nicolle,CANB 703248**,KT631589,FJ654412,,KT632208
Eucalyptus chlorophylla,eucalyptus chlorophylla,eucalyptus chlorophylla,eucalyptus,chlorophylla,NA,eucalyptus chlorophylla,Accepted,,Brooker & Done,CANB 785565**,KT631590,KT631018,,KT632209
Eucalyptus cinerea subsp. triplex,eucalyptus cinerea subsp. triplex,eucalyptus cinerea,eucalyptus,cinerea,triplex,eucalyptus cinerea subsp. triplex,Accepted,,(L.A.S.Johnson & K.D.Hill),ANBG 8703938,KT631591,KT631019,KT632777,KT632210
Eucalyptus cladocalyx,eucalyptus cladocalyx,eucalyptus cladocalyx,eucalyptus,cladocalyx,NA,eucalyptus cladocalyx,Accepted,,F.Muell.,ANBG 652722,KT631592,EF488228,KT632778,KT632211
Eucalyptus clelandii,eucalyptus clelandii,eucalyptus clelandii,eucalyptus,clelandii,NA,eucalyptus clelandii,Accepted,,(Maiden) Maiden,Currency Creek 333,KT631593,KT631020,KT632779,KT632212
Eucalyptus clivicola,eucalyptus clivicola,eucalyptus clivicola,eucalyptus,clivicola,NA,eucalyptus clivicola,Accepted,,Brooker & Hopper,Currency Creek 3779,KT631594,KT631021,KT632780,KT632213
Eucalyptus cloeziana,eucalyptus cloeziana,eucalyptus cloeziana,eucalyptus,cloeziana,NA,eucalyptus cloeziana,Accepted,,F.Muell.,Currency Creek 696,KT631595,AF390522,KT632781,KT632214
Eucalyptus cneorifolia,eucalyptus cneorifolia,eucalyptus cneorifolia,eucalyptus,cneorifolia,NA,eucalyptus cneorifolia,Accepted,,A.Cunn. ex DC.,Currency Creek 75,KT631596,KT631022,KT632782,KT632215
Eucalyptus comitae-vallis,eucalyptus comitae-vallis,eucalyptus comitae-vallis,eucalyptus,comitae-vallis,NA,eucalyptus comitae-vallis,Accepted,,Maiden,Currency Creek 2767,KT631597,KT631023,KT632783,KT632216
Eucalyptus communalis,eucalyptus communalis,eucalyptus communalis,eucalyptus,communalis,NA,eucalyptus communalis,Accepted,,Brooker & Hopper,Currency Creek 200,KT631598,KT631024,KT632784,KT632217
Eucalyptus concinna,eucalyptus concinna,eucalyptus concinna,eucalyptus,concinna,NA,eucalyptus concinna,Accepted,,Maiden & Blakely,Currency Creek 2631,KT631599,KT631025,KT632785,KT632218
Eucalyptus conferruminata subsp. recherche,eucalyptus conferruminata subsp. recherche,eucalyptus conferruminata,eucalyptus,conferruminata,recherche,eucalyptus conferruminata subsp. recherche,Accepted,,D.J.Carr & S.G.M.Carr,Currency Creek 4588,KT631600,,KT632786,KT632219
Eucalyptus confluens,eucalyptus confluens,eucalyptus confluens,eucalyptus,confluens,NA,eucalyptus confluens,Accepted,,W.Fitzg. ex Maiden,CANB 785543**,KT631601,KT631026,KT632787,
Eucalyptus conglobata subsp. conglobata,eucalyptus conglobata subsp. conglobata,eucalyptus conglobata,eucalyptus,conglobata,conglobata,eucalyptus conglobata subsp. conglobata,Accepted,,(Benth.) Maiden,Currency Creek 3588,KT631602,KT631027,KT632788,KT632220
Eucalyptus conglomerata,eucalyptus conglomerata,eucalyptus conglomerata,eucalyptus,conglomerata,NA,eucalyptus conglomerata,Accepted,,Maiden & Blakely,GenBank,,FJ494712,,
Eucalyptus conica,eucalyptus conica,eucalyptus conica,eucalyptus,conica,NA,eucalyptus conica,Accepted,,H.Deane & Maiden,Waite Arboretum 35,KT631603,KT631028,KT632789,KT632221
Eucalyptus consideniana,eucalyptus consideniana,eucalyptus consideniana,eucalyptus,consideniana,NA,eucalyptus consideniana,Accepted,,Maiden,Currency Creek 611,KT631604,KT631029,KT632790,KT632222
Eucalyptus conspicua,eucalyptus conspicua,eucalyptus conspicua,eucalyptus,conspicua,NA,eucalyptus conspicua,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 4516,KT631605,KT631030,KT632791,
Eucalyptus conveniens,eucalyptus conveniens,eucalyptus conveniens,eucalyptus,conveniens,NA,eucalyptus conveniens,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3516,FJ654419,FJ654402,,FJ654350
Eucalyptus coolabah,eucalyptus coolabah,eucalyptus coolabah,eucalyptus,coolabah,NA,eucalyptus coolabah,Accepted,,Blakely & Jacobs,CANB 785547**,KT631606,KT631031,KT632792,KT632223
Eucalyptus cooperiana,eucalyptus cooperiana,eucalyptus cooperiana,eucalyptus,cooperiana,NA,eucalyptus cooperiana,Accepted,,F.Muell.,Currency Creek 1813,KT631607,KT631032,KT632793,KT632224
Eucalyptus cordata,eucalyptus cordata,eucalyptus cordata,eucalyptus,cordata,NA,eucalyptus cordata,Accepted,,Labill.,ANBG 8804430,KT631608,KT631033,KT632794,KT632225
Eucalyptus cornuta,eucalyptus cornuta,eucalyptus cornuta,eucalyptus,cornuta,NA,eucalyptus cornuta,Accepted,,Labill.,Currency Creek 3748,,AF390496,,KT632226
Eucalyptus coronata,eucalyptus coronata,eucalyptus coronata,eucalyptus,coronata,NA,eucalyptus coronata,Accepted,,C.A.Gardner,Currency Creek 2247,KT631609,KT631034,KT632795,KT632227
Eucalyptus corrugata,eucalyptus corrugata,eucalyptus corrugata,eucalyptus,corrugata,NA,eucalyptus corrugata,Accepted,,Luehm.,Currency Creek 3483,KT631610,KT631035,KT632796,KT632228
Eucalyptus corticosa,eucalyptus corticosa,eucalyptus corticosa,eucalyptus,corticosa,NA,eucalyptus corticosa,Synonym,E ucalyptus argophloia,Blakely,ANBG 54339,KT631611,KT631036,KT632797,
Eucalyptus cosmophylla,eucalyptus cosmophylla,eucalyptus cosmophylla,eucalyptus,cosmophylla,NA,eucalyptus cosmophylla,Accepted,,F.Muell.,ANBG 8409259,KT631612,EF488226,KT632798,KT632229
Eucalyptus crebra,eucalyptus crebra,eucalyptus crebra,eucalyptus,crebra,NA,eucalyptus crebra,Accepted,,F.Muell.,ANBG 732903,KT631613,AF390503,KT632799,KT632230
Eucalyptus crenulata,eucalyptus crenulata,eucalyptus crenulata,eucalyptus,crenulata,NA,eucalyptus crenulata,Accepted,,Blakely & Beuzev.,Currency Creek 1775,KT631614,KT631037,KT632800,
Eucalyptus creta,eucalyptus creta,eucalyptus creta,eucalyptus,creta,NA,eucalyptus creta,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 3606,KT631615,KT631038,KT632801,
Eucalyptus cretata,eucalyptus cretata,eucalyptus cretata,eucalyptus,cretata,NA,eucalyptus cretata,Accepted,,P.J.Lang & Brooker,Currency Creek 1689,KT631616,KT631039,KT632802,KT632231
Eucalyptus croajingolensis,eucalyptus croajingolensis,eucalyptus croajingolensis,eucalyptus,croajingolensis,NA,eucalyptus croajingolensis,Accepted,,L.A.S.Johnson & K.D.Hill,Currency Creek 1744,KT631617,AF058497,KT632803,KT632232
Eucalyptus crucis subsp. crucis,eucalyptus crucis subsp. crucis,eucalyptus crucis,eucalyptus,crucis,crucis,eucalyptus crucis subsp. crucis,Accepted,,Maiden,Currency Creek 3681,KT631618,KT631040,KT632804,KT632233
Eucalyptus cunninghamii,eucalyptus cunninghamii,eucalyptus cunninghamii,eucalyptus,cunninghamii,NA,eucalyptus cunninghamii,Accepted,,Sweet,ANBG 9806132,KT631619,KT631041,KT632805,KT632234
Eucalyptus cuprea,eucalyptus cuprea,eucalyptus cuprea,eucalyptus,cuprea,NA,eucalyptus cuprea,Accepted,,Brooker & Hopper,Currency Creek 3536,KT631620,KT631042,KT632806,KT632235
Eucalyptus cupularis,eucalyptus cupularis,eucalyptus cupularis,eucalyptus,cupularis,NA,eucalyptus cupularis,Accepted,,C.A.Gardner,CANB 785563**,KT631621,KT631043,KT632807,KT632236
Eucalyptus curtisii,eucalyptus curtisii,eucalyptus curtisii,eucalyptus,curtisii,NA,eucalyptus curtisii,Accepted,,Blakely & C.T.White,Currency Creek 2108,KT631622,AF390524,AF368206,KT632237
Eucalyptus cuspidata,eucalyptus cuspidata,eucalyptus cuspidata,eucalyptus,cuspidata,NA,eucalyptus cuspidata,Synonym,Eucalyptus angulosa,Schauer,Currency Creek 3746,KT631623,,KT632808,KT632238
Eucalyptus cyanophylla,eucalyptus cyanophylla,eucalyptus cyanophylla,eucalyptus,cyanophylla,NA,eucalyptus cyanophylla,Accepted,,Brooker,Currency Creek 983,KT631624,KT631044,KT632809,KT632239
Eucalyptus cyclostoma,eucalyptus cyclostoma,eucalyptus cyclostoma,eucalyptus,cyclostoma,NA,eucalyptus cyclostoma,Accepted,,Brooker,ANBG 9903101,KT631625,KT631045,KT632810,KT632240
Eucalyptus cylindriflora,eucalyptus cylindriflora,eucalyptus cylindriflora,eucalyptus,cylindriflora,NA,eucalyptus cylindriflora,Accepted,,Maiden & Blakely,CANB 794327**,KT631626,KT631046,KT632811,KT632241
Eucalyptus cylindrocarpa,eucalyptus cylindrocarpa,eucalyptus cylindrocarpa,eucalyptus,cylindrocarpa,NA,eucalyptus cylindrocarpa,Accepted,,Blakely,Waite Arboretum 1944A,KT631627,KT631047,KT632812,KT632242
Eucalyptus cypellocarpa,eucalyptus cypellocarpa,eucalyptus cypellocarpa,eucalyptus,cypellocarpa,NA,eucalyptus cypellocarpa,Accepted,,L.A.S.Johnson,Currency Creek 2946,KT631628,KT631048,KT632813,KT632243
Eucalyptus dalrympleana subsp. dalrympleana,eucalyptus dalrympleana subsp. dalrympleana,eucalyptus dalrympleana,eucalyptus,dalrympleana,dalrympleana,eucalyptus dalrympleana subsp. dalrympleana,Accepted,,Maiden,ANBG 7804378,KT631629,KT631049,KT632814,
Eucalyptus dawsonii,eucalyptus dawsonii,eucalyptus dawsonii,eucalyptus,dawsonii,NA,eucalyptus dawsonii,Accepted,,R.T.Baker,Currency Creek 743,KT631630,,,KT632244
Eucalyptus dealbata,eucalyptus dealbata,eucalyptus dealbata,eucalyptus,dealbata,NA,eucalyptus dealbata,Accepted,,A.Cunn. ex Schauer,Currency Creek 723,KT631631,KT631050,KT632815,KT632245
