name,cca.synonym,genus,species,subspecies,habit_tree,habit_mallee,habit_marlock,habit_shrub,height_max_m,leaf_length_mm_min,leaf_length_mm_max,leaf_width_mm_min,leaf_width_mm_max,botanical_desc
eucalyptus cooperiana,,Eucalyptus,cooperiana,NA,FALSE,TRUE,FALSE,FALSE,4,65,105,10,25,"Mallee to 4 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout or with some persistent flaky-fibrous rough grey bark at the base of the stem, smooth bark powdery white over pale grey to pinkish grey. -BREAK- Branchlets lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or wild seedling to 50 cm tall): stems rounded in cross-section; juvenile leaves opposite and sessile for many pairs then becoming alternate, shortly petiolate, elliptical to ovate, 3.5--10 cm long, 2.5--6 cm wide, dull grey-green. -BREAK- Adult leaves alternate, petioles 1.3--2.8 cm long; blade lanceolate, (5.8)6.5--10.5(11) cm long, 1--2.5 cm wide, base tapering to petiole, margin entire, apex acute, concolorous, glossy, green or sometimes bluish green, side-veins at an acute or wider angle to midrib, reticulation dense, intramarginal vein remote from margin, oil glands scattered, irregular, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles spreading to down-turned, 0.7--1.8 cm long, buds 9, 11 or 13 per umbel, pedicellate (pedicels 0.4--0.9 cm long). Mature buds ovoid or cylindrical (0.6--1.1 cm long, 0.4--0.5 cm wide), creamy white (not glaucous), scar present (outer operculum shed early), operculum flattened to rounded, rarely obtusely conical, hypanthium usually with about 10--12 shallow longitudinal ribs, sometimes the ribs absent, stamens inflexed, anthers more or less oblong, versatile, sub-basifixed, dehiscing by lateral slits, style long and straight, stigma blunt, locules 3 or 4, the placentae each with 4 vertical rows of ovules. Flowers cream-yellow. -BREAK- Fruit often on down-turned peduncles, pedicellate (pedicels 0.4--0.7 cm long), urceolate, 0.5--1 cm long, (0.6)0.7--0.9 cm wide, disc vertically descending, valves 3 or 4, enclosed. -BREAK- Seeds grey-brown, 1--2.5 mm long, flattened-ovoid, dorsal surface more or less smooth, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, smooth or slightly warty; leaves sessile, opposite for at least 15 nodes, linear for the first few nodes then narrowly elliptic to elliptic or ovate, sometimes more or less orbicular, 1.8--3 cm long, 0.5--1.5 cm wide, dull, grey-green. Leaves become shortly petiolate after ca node 15--18. -BREAK-"
eucalyptus cordata subsp. cordata,,Eucalyptus,cordata,cordata,FALSE,FALSE,FALSE,TRUE,5,30,84,28,63,"Shrub 1.5 to 5 m tall. Forming a lignotuber. -BREAK- Bark smooth, mottled, greenish yellow, white, brown, green, blue-grey and purple, branchlets glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, glaucous, very warty; juvenile leaves opposite and sessile for many pairs, orbicular to cordate, 3--8.4 cm long, 2.8--6.3 cm wide, base amplexicaul, margin sub-crenulate, glaucous weathering to grey-green or green. -BREAK- Crown of juvenile leaves only (adult leaves not formed).  -BREAK- Crown leaves opposite, sessile; blade broadly orbicular to cordate, dimensions as above, base amplexicaul, margin crenulate, concolorous, dull, usually glaucous more heavily so on underside, weathering to blue-green, grey-green or sometimes green, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein well removed from margin, oil glands island and intersectional. -BREAK- Inflorescence axillary unbranched, peduncles 0.2--1.2(1.5) cm long, buds 3 per umbel, sessile or with a 0.2 cm pedicel on central bud. Mature buds obovoid to pyriform, 0.9--1.1 cm long, 0.6--0.8 cm wide, green or glaucous, scar present (outer operculum shed early), inner operculum ca 0.4 cm long, rounded to flattened and sometimes apiculate, stamens mostly inflexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt or tapered, locules 3 or 4, the placentae each with 6 vertical ovule rows. Flowers white. -BREAK- Fruit sessile or rarely with a 0.3 cm pedicel (on central fruit), cup-shaped to truncate-globose, 0.6--1.2 cm long, 0.8--1.3 cm wide, sometimes weakly angled longitudinally, usually glaucous at least when newly formed, disc descending vertically or obliquely, valves 3 or 4, near rim level or just enclosed. -BREAK- Seeds dark brown, greyish or black, 1.5--3 mm long, ovoid or flattened-ovoid, dorsal surface smooth, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed; stems rounded in cross-section, glaucous, very warty; leaves opposite and sessile for many nodes, orbicular to cordate, 3--4 cm long, 2--3 cm wide, base amplexicaul, margin sub-crenulate, apex pointed or rounded, usually glaucous."
eucalyptus cordata subsp. quadrangulosa,,Eucalyptus,cordata,quadrangulosa,TRUE,FALSE,FALSE,TRUE,25,0,20,25,80,"Tree to 11m (uncommonly 25 m) tall with branching and foliage extending well down the trunk, or bushy shrub  2+ m tall. Forming a lignotuber. -BREAK- Bark smooth, mottled, greenish, white, brown, blue-grey and grey; on tallest trees there may be some basal slabs of rough grey-brown bark low on trunk; branchlets glaucous, squared in cross-section. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem squared in cross-section, or even slightly winged, glaucous, very warty; juvenile leaves opposite and sessile for many pairs, orbicular to cordate, 3--8.5 cm long, 2.7--8 cm wide, base amplexicaul, apex usually rounded and mucronate, margin sub-crenulate, glaucous weathering to grey-green or green. -BREAK- Crown of juvenile leaves only on smaller plants, but in tree forms intermediate and adult leaves occur also. The progression in leaf form goes like this: juvenile leaves are opposite, sessile, orbicular to cordate with base stem-clasping and apex rounded and mucronate, and tend to be paler on the underside, have a scalloped (subcrenulate) margin and are more heavily glaucous; intermediate leaves are still opposite but are petiolate, blades elliptical to oblong and still a bit paler on the underside; adult leaves are alternately placed on the branchlet, petiolate, blades lanceolate, and are concolorous, often glaucous or weathering to grey-green. The leaf margin tends to be entire in intermediate and adult leaves; side-veins greater than 45° to midrib, venation moderately to densely reticulate, intramarginal vein well removed from margin, oil glands island and intersectional. Considering all stages in leaf development the following dimensions apply: petiole 0--2(3) cm long, blade  3--8.5(17) cm long, 2.5--8(9.5) cm wide.  -BREAK- Inflorescence axillary unbranched, peduncles (0.2)0.3--1.2 cm long, buds 3 per umbel, sessile or with a 0.3 cm pedicel on central bud. Mature buds obovoid to pyriform, 0.9--1.3 cm long, 0.7--1.0 cm wide, glaucous, maybe weakly angled or not, scar present (outer operculum shed early), inner operculum ca 0.4-0.6 cm long, rounded to flattened and usually apiculate, stamens inflexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt or tapered, locules 3 or 4, the placentae each with 6 vertical ovule rows. Flowers white. -BREAK- Fruit sessile or rarely with a 0.2 cm pedicel (on central fruit), cup-shaped, shortly barrel-shaped to truncate-globose, 0.8--1.3 cm long, 1--1.5 cm wide, weakly angled longitudinally or not so, usually glaucous at least when newly formed, disc descending vertically or obliquely, valves 3 or 4, near rim level or just enclosed. -BREAK- Seeds dark brown, greyish or black, 1.5--3 mm long, ovoid or flattened-ovoid, dorsal surface smooth, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed; stems squared in cross-section, glaucous, warty; leaves opposite and sessile for many nodes, orbicular to cordate, 3--4.5 cm long, 1.5--3 cm wide, base amplexicaul, apex rounded and mucronate, margin sub-crenulate, usually glaucous."
eucalyptus cornuta,,Eucalyptus,cornuta,NA,TRUE,TRUE,FALSE,FALSE,20,60,135,10,33,"Tree to 20 m tall, sometimes a mallee. Forming a lignotuber. -BREAK- Bark rough over part or all of trunk, rarely to branches ca 8 cm diameter, more or less hard, thick and fissured to thin and fibrous, brown to grey or almost black, smooth above pale grey and grey-brown. -BREAK- Branchlets with or without oil glands in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems rounded in cross-section, smooth; juvenile leaves always petiolate, alternate, ovate to orbicular, 4--7 cm long, 2--7 cm wide, margin sometimes irregular and undulate, apex rounded to pointed, green, discolorous. -BREAK- Adult leaves alternate, petioles 0.5--2 cm long; blade commonly lanceolate, rarely oblong-elliptical, (5)6--13.5(15.2) cm long, 1--3.3 cm wide, base tapering to petiole, margin entire, apex usually pointed, rarely blunt, concolorous, usually glossy, green, side-veins at an acute or wider angle, reticulation dense, intramarginal vein remote from margin, oil glands island and intersectional. -BREAK- Inflorescence axillary unbranched, peduncles rounded to flattened, 1.2--3.2 cm long, buds ?11 to 21 or more per umbel, sessile or rarely pedicellate (pedicels 0--0.3 cm long). Mature buds very elongated, 2.3--4.2 cm long, 0.5--0.8 cm wide, scar present (outer operculum lost early) but may be obscure by bud maturity, operculum horn-shaped curved or straight, 4--7 times the length of the hypanthium, blunt or pointed, stamens erect, anthers narrowly oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma tapering, locules 3 or 4, the placentae each with 4 (rarely 6) vertical rows of ovules. Flowers yellowish. -BREAK- Fruit usually sessile, rarely pedicels to 0.3 cm long, cylindrical to cup-shaped, 0.5--1.2 cm long, 0.6--1.3 cm wide, dehiscing by elliptical holes formed when the 3 or 4 valves split along the sutures but remain fused at the fragile tips, disc covering the valves. -BREAK- Seeds black, 1.5--3 mm long, ovoid to angularly ovoid, dorsal surface very shallowly reticulate, margin in some seed partially flanged, hilum ventral/terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at node 10): cotyledons Y-shaped to bilobed (the arms short and broad); stems rounded in cross-section, smooth; leaves always petiolate, opposite for 3 to 5 nodes then alternate, orbicular to broadly and bluntly ovate or deltoid, 2.5--6.5 cm long, 2--5.5 cm wide, margin slightly undulate, apex rounded to emarginate, discolorous, green, not scabrid. -BREAK-"
eucalyptus coronata,,Eucalyptus,coronata,NA,FALSE,TRUE,FALSE,FALSE,3,70,130,13,25,"Mallee to 3 m tall. Forming a lignotuber. -BREAK- Bark wholly smooth, pale grey and pale brown. -BREAK- Branchlets lacking oil glands in the pith.  -BREAK- Juvenile growth (coppice or wild seedling to 50 cm tall) not seen. -BREAK- Adult leaves alternate, petioles 1.2--2.8 cm long; blade lanceolate to falcate, 7--13 cm long, 1.3--2.5 cm wide, base tapering to petiole or sometimes oblique, margin entire, apex pointed, side-veins at an acute or wider angle to midrib, reticulation dense, intramarginal vein remote from margin, oil glands few, intersectional. -BREAK- Inflorescence axillary unbranched, peduncles broadly flattened, 1--1.7 cm long, buds 3 per umbel, sessile or pedicellate (pedicels 0--0.2 cm long). Mature buds Â± diamond-shape with numerous pronounced ribs, 2.7--3 cm long, 2.2--2.3 cm wide, scar absent, the single operculum beaked, stamens mostly arranged obliquely, a few inner stamens inflexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style not quite as long as floral cavity, straight, stigma rounded, locules 4 or 5, the placentae each with 2 vertical rows of ovules. Flowers white. -BREAK- Fruit sessile or on pedicels to 0.4 cm long, broadly obconical and prominently ribbed, 1.7--2.5 cm long, 3.2--5.3 cm wide (including ribs), disc lobed over the 4 or 5 valves. -BREAK- Seeds blackish, 3--6 mm long, pyramidal to cuboid, dorsal surface smooth or irregularly wrinkled, hilum terminal. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons large, reniform; stems rounded to square in cross-section, scabrid throughout; leaves opposite and sessile for at least 10 nodes, broadly ovate, 5--9.5 cm long, 3--5 cm wide, bases amplexicaul becoming rounded higher up stem, margins irregular (""crinkled"") and scabrid, apex blunt, discolorous, dull to slightly glossy, mid-green. -BREAK-"
eucalyptus corrugata,,Eucalyptus,corrugata,NA,TRUE,TRUE,FALSE,FALSE,15,90,130,12,20,"Tree to 15 m tall, less commonly a mallee. Forming a lignotuber. -BREAK- Bark usually rough dark grey to brown or yellow brown and scaly, flaky or thinly fibrous for up to 2 m of trunk, smooth above grey over salmon pink, sometimes prickly. -BREAK- Branchlets usually glaucous; pith glandular. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm tall): stems rounded in cross-section, glaucous; juvenile leaves always petiolate, opposite for only the lowest node then alternate, ovate, 5.5--9 cm long, 2.5--4 cm wide, glaucous. -BREAK- Adult leaves alternate, petioles 1.2--2.5 cm long; blade lanceolate or sometimes falcate, (7)9--13 cm long, 1.2--2(2.4) cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, very glossy, mid-green, side-veins usually greater than 45° to midrib, sometimes acute, reticulation very dense, intramarginal vein remote from margin, oil glands numerous, intersectional, large and small. -BREAK- Inflorescence axillary unbranched, peduncles 0.7--1.8 cm long, buds 3 per umbel, pedicels 0.4--0.8 cm long. Mature buds globular to pyriform in outline and prominently longitudinally corrugated (1--1.8 cm long, 0.9--1.3 cm wide), non-glaucous (but peduncle and pedicel often waxy), scar present, operculum rounded or narrowly flattened (0.4--0.8 cm long), stamens inflexed, anthers wedge-shaped, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma more or less rounded, locules 4, the placentae each with 4 vertical rows of ovules. Flowers white. -BREAK- Fruit pedicellate (pedicels 0.3--0.5 cm long), cupular to obconical and ribbed, 0.7--1.5 cm long, 1.1--1.8 cm wide (including ribs), non-glaucous or waxy at very base only, disc level or descending, valves 4, usually strongly exserted. -BREAK- Seeds dark brown, 1.5--2.5 mm long, ovoid to flattened-ovoid, dorsal surface pitted and margin noticeably irregular, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems square or rounded in cross-section, often glaucous; leaves always petiolate, opposite for 3 to 5 nodes then alternate, ovate to broadly lanceolate, 5--10 cm long, 2--4.5 cm wide, grey-green or slightly glaucous. -BREAK-"
eucalyptus corticosa,,Eucalyptus,corticosa,NA,TRUE,FALSE,FALSE,FALSE,8,70,150,9,22,"Tree to 8 m tall. Forming a lignotuber. -BREAK- Bark rough on trunk, sometimes extending to small branches, fibrous, sometimes fissured and forming longitudinal slabs, sometimes tessellated in part, grey; smooth bark grey, grey-brown to pale orange. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems round in cross-section; juvenile leaves opposite for 5 to 10 nodes, then alternate, shorly petiolate, narrow-oblong, dull, green. -BREAK- Adult leaves alternate, petiole 0.8--2.1 cm long; blade lanceolate to falcate, 7--15 cm long, 0.9--2.2 cm wide, base tapering to petiole, concolorous, dull, green, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein parallel to and just within margin, oil glands mostly island. -BREAK- Inflorescence axillary unbranched, peduncles 0.2--0.6 cm long, buds 7 per umbel, pedicels 0.2--0.3 cm long. Mature buds ovoid to obovoid, 0.4--0.5 cm long, 0.3--0.4 cm wide, green to yellow, smooth, scar present, operculum conical to rounded, stamens irregularly flexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit pedicellate (pedicels 0.1--0.3 cm long), cup-shaped or hemispherical, 0.3--0.5 cm long, 0.3--0.6 cm wide, disc raised-convex or -oblique, valves 3 or 4, near rim level. -BREAK- Seeds brown, 1.5--2 mm long, ovoid or flattened-ovoid, lacunose, dorsal surface shallowly pitted, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed; stems rounded in cross-section; leaves sessile to shortly petiolate, opposite for ca 5 nodes then alternate, linear to narrowly oblong, 4.5--5.5 cm long, 0.4--0.8 cm wide, base tapering, apex blunt or pointed, dull, green. -BREAK-"
eucalyptus corynodes,,Eucalyptus,corynodes,NA,TRUE,FALSE,FALSE,FALSE,20,15,30,15,35,"Tree to 20 m tall. Forming a lignotuber. -BREAK- Ironbark, dark grey to black. Branches ca 5 cm diameter or narrower often smoothed-barked. Branchlets sometimes glaucous with oil glands sometimes present in the pith. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem round to square in cross-section; juvenile leaves opposite for a few pairs, petiolate, becoming alternate, lanceolate, 6--9.5 cm long, 1.5--3.5 cm wide, glaucous. -BREAK- Adult leaves alternate, petiole 1.5--3(3.5) cm long; blade lanceolate to broadly lanceolate to falcate, 8--17 cm long, 1.5--3.5 cm wide, base tapering to petiole, concolorous, dull, grey-green to blue-grey to glaucous, side-veins usually at an angle less than 45° to the midrib, densely to very densely reticulate, intramarginal vein parallel to and well removed from the margin, oil glands sparse and intersectional or often absent. -BREAK- Inflorescence terminal compound, or axillary compound or sometimes axillary single, peduncles 0.8--2 cm long, buds 7 per umbel, pedicels 0.3--0.7 cm long. Mature buds obovoid, 0.6--0.7 cm long, 0.3--0.4 cm wide, sometimes glaucous, scar present, operculum conical to rounded and often slightly narrower than the hypanthium, stamens inflexed, with outer staminodes, anthers adnate, positioned obliquely at filament tip, cuboid, dehiscing by terminal pores, style long, stigma pin-head, locules 4 or 5, the placentae each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit sometimes glaucous but this wax fading with age, pedicels 0.2--0.6 cm long, barrel-shaped to cup-shaped, 0.6--0.9 cm long, 0.4--0.8 cm wide, sometimes with longitudinal ribs that become more prominent near the base of the hypanthium, disc descending, valves 4 or 5, enclosed. -BREAK- Seeds brown, 1--1.5 mm long, flattened-ovoid, shallowly reticulate, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to oblong; stems square in cross-section, glaucous; leaves always petiolate, opposite for ca 2 to 4 nodes then alternate, lanceolate to broadly lanceolate, 8--13 cm long, 1.7--4 cm wide, base tapering, blue-grey to glaucous."
eucalyptus cosmophylla,,Eucalyptus,cosmophylla,NA,TRUE,TRUE,FALSE,FALSE,10,80,180,13,50,"Tree to 10 m tall, or mallee to 5 m tall. Forming a lignotuber. -BREAK- Bark smooth throughout or with a few loose basal grey or brown rough slabs; smooth bark becoming granular with age, white to cream, grey, blue-grey or yellow. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stems square and slightly winged; juvenile leaves always petiolate, opposite until node 4 or 5, then alternate, deltoid to broadly ovate, 4--9 cm long, 4.5--9.5 cm wide, base truncate to tapering or sometimes oblique, apex emarginate, rounded or apiculate, concolorous, dull, green. -BREAK- Adult leaves alternate, petiole 1.5--4 cm long; blade lanceolate to broadly lanceolate, 8--18 cm long, 1.3--5 cm wide, base tapering to petiole, or oblique (sometimes), concolorous, slightly glossy to dull, light green to grey-green, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein well removed from margin, oil glands island, intersectional or obscure. -BREAK- Inflorescence axillary unbranched, peduncles 0.1--1.3 cm long (often very short); buds 3 per umbel, sessile or shortly pedicellate (pedicels 0--0.6 cm long). Mature buds ovoid to pyriform (1.1--2.2 cm long, 0.7--1.5 cm wide), green to yellow, scar present, operculum conical to rounded to beaked, stamens inflexed, anthers cuboid to oblong, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, locules 4 or 5, the placentae each with 8 or 10 vertical ovule rows. Flowers white. -BREAK- Fruit sessile to shortly pedicellate (pedicels 0--0.7 cm long), cup-shaped to cylindrical, 0.9--1.8 cm long, 1--2.2 cm wide, often slightly 2-ribbed longitudinally, disc descending, valves 4 or 5, near rim level. -BREAK- Seeds black, 1--3 mm long, pyramidal or obliquely pyramidal with ragged, almost winged, edges, dorsal surface smooth or slightly wrinkled, not winged, hilum terminal.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems square or rounded in cross-section; leaves always petiolate, opposite for 3 to 5 nodes then alternate, ovate to deltoid or orbicular, 4.3--8.5 cm long, 4--9.5 cm wide, base truncate to tapering, margin entire or subcrenulate, apex rounded, emarginate or apiculate, dull, grey-green to green. -BREAK-"
eucalyptus crebra,,Eucalyptus,crebra,NA,TRUE,FALSE,FALSE,FALSE,35,55,180,7,27,"Tree to 35 m tall. Forming a lignotuber. -BREAK- Ironbark to small branches, dark grey or black, hard and deeply furrowed. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded or square in cross-section; juvenile leaves opposite for a few pairs, then alternate, petiolate, linear, lanceolate or falcate, 5--12 cm long, 0.6--1.7 cm wide, grey-green or green. -BREAK- Adult leaves alternate, petiole 0.7--2 cm long; blade linear to narrowly lanceolate to lanceolate, 5.5--18 cm long, (0.6)0.7--2.7 cm wide, base tapering to petiole, concolorous, dull, green to grey-green to rarely glaucous, side-veins at an acute or sometimes wider angle to midrib, densely to very densely reticulate, intramarginal vein parallel to and just within margin, oil glands mostly intersectional or obscure. -BREAK- Inflorescence normally terminal compound, sometimes axillary single umbels, peduncles 0.2--1.3 cm long, buds 7, 9 or 11 per umbel, pedicels 0.2--0.7 cm long. Mature buds clavate to fusiform to diamond-shaped or ovoid, 0.3--0.7 cm long, 0.2--0.4 cm wide, green to yellow, smooth, scar present, operculum conical to rounded, stamens usually irregularly flexed, anthers adnate, globoid, dehiscing by broad lateral pores or slits, style long, stigma blunt or pin-head shaped, locules 3 or 4, the placentae each with 4 vertical ovule rows. Flowers white. -BREAK- Fruit on pedicels 0.1--0.6(0.9) cm long, cup-shaped, barrel-shaped or hemispherical, 0.2--0.7 cm long, 0.25--0.6 cm wide, disc descending, valves 3 or 4, near rim level or enclosed. -BREAK- Seeds brown or grey, 0.8--2 mm long, ovoid or flattened-ovoid or pointed at one end, dorsal surface shallowly pitted, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform to oblong; stems square in cross-section; leaves always petiolate, opposite for ca 5 nodes then alternate, linear to lanceolate, 4--12.5 cm long, 0.3--2 cm wide, base tapering, dull, green to grey-green."
eucalyptus crenulata,,Eucalyptus,crenulata,NA,TRUE,FALSE,FALSE,FALSE,12,20,65,15,55,"Tree to 12 m tall. Forming a lignotuber. -BREAK- Bark rough on trunk only or extending to 8 cm diameter branches in older trees, compacted, grey, brown or black; smooth bark grey, yellow or grey-brown, branchlets glaucous or non-glaucous. -BREAK- Juvenile growth (coppice or field seedlings to 50 cm): stem rounded in cross-section, glaucous, warty. -BREAK- Juvenile leaves persist to mature crown, opposite, sessile, rarely shortly petiolate (to 0.6 cm); blade ovate to cordate, 2--6.5 cm long, 1.5--5.5 cm wide, margin crenulate, base amplexicaul or lobed, initially conspicuously glaucous but eventually maturing inside the crown to glossy dark green above, paler beneath, side-veins greater than 45° to midrib, moderately to densely reticulate, intramarginal vein looped and remote from margin, oil glands mostly island. -BREAK- Inflorescence axillary unbranched, peduncles 0.1--0.8 cm long, buds 7, 9 or 11 per umbel, pedicels 0.1--0.4 cm long. Mature buds obovoid to ovoid or globular, 0.5--0.7 cm long, 0.3--0.4 cm wide, glaucous, smooth or warty, scar present, operculum beaked, stamens inflexed, anthers cuboid or cuneate, versatile, dorsifixed, dehiscing by longitudinal slits (non-confluent), style short or long, stigma blunt, locules 3 or 4, the placentae each with 4 vertical ovule rows; flowers white. -BREAK- Fruit sessile or pedicellate (pedicels to 0.3 cm long), crowded, cup-shaped, 0.3--0.5 cm long, 0.4--0.6 cm wide, glaucous or non-glaucous, disc descending, valves 3 or 4, enclosed. -BREAK- Seeds brown or grey, 1.5--2 mm long, ovoid or flattened-ovoid, often pointed at one end, lacunose, dorsal surface smooth or shallowly reticulate, hilum ventral.  -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons bilobed to oblong; stems rounded in cross-section, glaucous, warty; leaves sessile and opposite throughout, cordate, 1.3--3.5 cm long, 1.5--2.5 cm wide, base amplexicaul, margin conspicuously crenulate, apex pointed, glaucous."
eucalyptus creta,,Eucalyptus,creta,NA,FALSE,TRUE,FALSE,FALSE,10,55,132,12,35,"Mallet to 10 m tall, stems fluted. Non-lignotuberous. -BREAK- Bark smooth throughout, shiny, grey over bronze to greenish brown. -BREAK- Branchlets with oil glands in the pith. -BREAK- Juvenile growth (coppice or wild seedling to 50 cm tall): not seen.  -BREAK- Adult leaves coarse, thickish, alternate, petioles 0.8--1.8 cm long; blade lanceolate, (4.7)5.5--13.2 cm long, (0.8)1.2--3.5 cm wide, base tapering to petiole, margin entire or distantly and shallowly scalloped, apex pointed, side-veins greater than 45° to midrib, reticulation moderate to dense and broken, intramarginal vein close to margin, oil glands island, irregular in shape.  -BREAK- Inflorescence axillary unbranched, peduncles absent; buds 3 per umbel, sessile. Mature buds ovoid (1.5--2.2 cm long, 1.4--2 cm wide) basally flattened and expanded forming a wing on either side of the hypanthium extending to the join with the operculum, scar present, operculum beaked or rarely conical, stamens inflexed, anthers oblong, versatile, sub-basifixed, dehiscing by longitudinal slits, style long and straight, stigma blunt, locules usually 5 (rarely 4 or 6), the placentae each with 8 vertical rows of ovules. Flowers white.  -BREAK- Fruit sessile or shortly pedicellate (pedicels 0--0.1 cm long), broadly and shallowly cupular to hemispherical with 2 wings extending from base to rim, 0.8--1.3 cm long, 1.5--2.8 cm wide, disc level or slightly descending, valves usually 5 (rarely 4 or 6), at rim level or exserted.  -BREAK- Seeds beige to brown, 1--2 mm long, ovoid or flattened ovoid to cuboid or polygonal, dorsal surface deeply, closely and narrowly fissured, margin toothed, hilum ventral. (Seedcoat often referred to as being honey-combed.) -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons Y-shaped (bisected); stems rounded in cross-section, slightly scabrid at least until node 9; leaves always petiolate, opposite for 4 to 6 nodes then alternate, ovate-lanceolate, 4.5--6 cm long, 1.5--2 cm wide, dull, green to grey-green, lamina slightly scabrid. -BREAK-"
eucalyptus cretata,,Eucalyptus,cretata,NA,FALSE,TRUE,FALSE,FALSE,4,78,150,13,35,"Mallee to ca 4 m tall. Forming a lignotuber. -BREAK- Bark rough, grey and coarsely flaky for lower part of stems, smooth above, pale grey to creamy yellow and pale brown; branchlets glaucous. -BREAK- Branchlets with oil glands in the pith.  -BREAK- Juvenile growth (coppice or wild seedling to 50 cm tall): stems square in cross-section, glaucous; juvenile leaves always petiolate, alternate, ovate to broadly lanceolate, 4.5--10 cm long, 2.5--5 cm wide, base truncate, rounded or tapered, dull, glaucous.  -BREAK- Adult leaves alternate, petiole 1.2--2.8 cm long; blade lanceolate, 7.8--15 cm long, 1.3--3.5 cm wide, base tapering to petiole, concolorous, thick, side-veins greater than 45° to midrib, reticulation dense or obscure due to leaf thickness, intramarginal vein close to margin, oil glands intersectional.  -BREAK- Inflorescence axillary unbranched, peduncles 0.5--1.5 cm long, buds 7 per umbel, usually pedicellate, rarely sessile (pedicels (0)0.1--0.4 cm long). Mature buds cylindrical to obovoid (0.8--1.4 cm long, 0.4--0.8 cm wide), glaucous, scar present, operculum conical to rounded (0.4--0.7 cm long), rarely wider than hypanthium, conspicuously radially striate, stamens inflexed, anthers cuboid to wedge-shaped, versatile, sub-basifixed, dehiscing by longitudinal slits (non-confluent), style long, stigma blunt, locules (4)5, the placentae each with 4 vertical rows of ovules. Flowers white.  -BREAK- Fruit usually pedicellate, rarely sessile (pedicels (0)0.1--0.4 cm long), cupular to barrel-shaped or obconical, 0.6--1 cm long, 0.7--1.1 cm wide, often ribbed slightly, glaucous at first but weathering non-glaucous, disc descending, valves (4)5, at rim level.  -BREAK- Seeds ruby-red and lustrous, 1.5--2.8 mm long, flattened-ovoid, sometimes slightly angular, dorsal surface shallowly reticulate, hilum ventral. -BREAK-  -BREAK- Cultivated seedlings (measured at ca node 10): cotyledons reniform; stems square in cross-section, glaucous; leaves always petiolate, opposite for 4 or 5 nodes, then alternate, deltoid to ovate, 3.5--7 cm long, 3--5.5 cm wide, glaucous.  -BREAK-"
